City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Pasighat,IN,2020-06-21 20:33:02,28.07,95.33,76.5,84,65,1.81
166,Santa Fe,AR,2020-06-21 20:29:13,-31.63,-60.7,69.01,50,85,4.0
167,Lavrentiya,RU,2020-06-21 20:33:03,65.58,-171.0,56.17,44,9,5.79
168,Geraldton,AU,2020-06-21 20:33:03,-28.77,114.6,62.6,39,0,20.8
169,Utena,LT,2020-06-21 20:33:03,55.5,25.6,60.64,92,0,4.43
170,The Valley,AI,2020-06-21 20:28:05,18.22,-63.06,86.0,74,20,12.75
171,Murupara,NZ,2020-06-21 20:33:05,-38.47,176.7,55.99,97,5,1.01
172,Vila Franca Do Campo,PT,2020-06-21 20:33:05,37.72,-25.43,68.0,82,75,8.05
173,Panzhihua,CN,2020-06-21 20:33:05,26.59,101.71,74.61,67,91,2.84
174,Linqiong,CN,2020-06-21 20:33:05,30.42,103.46,75.99,100,75,4.47
175,Abu Dhabi,AE,2020-06-21 20:29:54,24.47,54.37,89.6,66,0,5.82
176,Rosetta,EG,2020-06-21 20:33:06,31.4,30.42,73.31,82,0,13.78
177,Tautira,PF,2020-06-21 20:33:06,-17.73,-149.15,82.4,65,20,4.7
178,Port-Gentil,GA,2020-06-21 20:33:06,-0.72,8.78,77.0,88,40,9.17
179,Santa Marta,CO,2020-06-21 20:33:06,11.24,-74.2,89.6,75,75,6.93
180,Zhangye,CN,2020-06-21 20:33:06,38.93,100.45,60.66,61,100,10.0
181,Avera,US,2020-06-21 20:33:07,33.19,-82.53,93.2,38,1,5.82
182,Progreso,MX,2020-06-21 20:28:30,21.28,-89.67,95.0,59,75,6.93
183,Ahipara,NZ,2020-06-21 20:32:29,-35.17,173.17,58.86,83,20,8.52
184,Brae,GB,2020-06-21 20:33:07,60.4,-1.35,55.4,93,66,13.87
185,Boende,CD,2020-06-21 20:33:07,-0.22,20.87,76.62,59,24,1.19
186,Mosquera,CO,2020-06-21 20:33:08,4.71,-74.23,68.0,42,40,11.41
187,Mitsamiouli,KM,2020-06-21 20:33:08,-11.38,43.28,78.31,80,92,16.8
188,Yasinya,UA,2020-06-21 20:33:08,48.28,24.36,57.99,86,100,1.95
189,Chokurdakh,RU,2020-06-21 20:33:08,70.63,147.92,76.32,37,0,11.01
190,Ostrovnoy,RU,2020-06-21 20:33:08,68.05,39.51,58.37,56,100,16.49
191,Thinadhoo,MV,2020-06-21 20:32:59,0.53,72.93,83.89,70,77,7.67
192,Honningsvag,NO,2020-06-21 20:33:10,70.98,25.97,48.2,70,20,8.05
193,Sobolevo,RU,2020-06-21 20:33:10,54.43,31.9,58.5,93,38,9.64
194,Georgiyevskoye,RU,2020-06-21 20:33:10,58.73,45.02,43.39,83,0,3.91
195,Conceicao Da Barra,BR,2020-06-21 20:33:10,-18.59,-39.73,70.57,76,0,3.94
196,Novikovo,RU,2020-06-21 20:33:11,51.15,37.89,64.53,88,55,7.76
197,Mahebourg,MU,2020-06-21 20:33:11,-20.41,57.7,71.6,78,40,14.99
198,Bilma,NE,2020-06-21 20:33:11,18.69,12.92,89.13,12,0,5.84
199,Lebu,CL,2020-06-21 20:32:09,-37.62,-73.65,51.04,83,100,9.69
200,Valley City,US,2020-06-21 20:33:11,46.92,-98.0,69.8,49,1,9.17
201,Isangel,VU,2020-06-21 20:33:12,-19.55,169.27,68.0,94,20,11.1
202,Codrington,AU,2020-06-21 20:33:12,-38.27,141.97,45.34,94,91,3.33
203,Bambous Virieux,MU,2020-06-21 20:32:28,-20.34,57.76,72.0,78,40,14.99
204,Maryville,US,2020-06-21 20:31:13,35.76,-83.97,81.0,57,75,6.93
205,Cascais,PT,2020-06-21 20:33:12,38.7,-9.42,71.01,82,20,24.16
206,Saint-Augustin,CA,2020-06-21 20:33:13,51.23,-58.65,60.51,58,100,19.35
207,Plavinas,LV,2020-06-21 20:33:13,56.62,25.73,60.31,90,9,5.19
208,Bondoukou,CI,2020-06-21 20:33:13,8.03,-2.8,74.55,90,96,4.47
209,Souillac,MU,2020-06-21 20:33:13,-20.52,57.52,71.6,78,40,14.99
210,Baykit,RU,2020-06-21 20:33:13,61.67,96.37,56.86,75,24,2.95
211,Severnoye,RU,2020-06-21 20:33:14,56.35,78.36,52.16,85,92,10.63
212,Loukhi,RU,2020-06-21 20:33:14,66.08,33.04,54.79,63,35,6.91
213,Pilar,BR,2020-06-21 20:33:14,-9.6,-35.96,77.0,69,20,6.93
214,Agucadoura,PT,2020-06-21 20:30:39,41.43,-8.78,68.0,93,75,8.05
215,Ulladulla,AU,2020-06-21 20:33:14,-35.35,150.47,48.0,81,38,10.29
216,Rocha,UY,2020-06-21 20:33:15,-34.48,-54.33,58.84,93,97,7.23
217,Port Hardy,CA,2020-06-21 20:33:15,50.7,-127.42,59.0,82,75,6.93
218,Aranos,NA,2020-06-21 20:33:15,-24.13,19.12,53.62,38,10,9.28
219,Pacific Grove,US,2020-06-21 20:33:01,36.62,-121.92,73.99,72,1,12.75
220,Te Anau,NZ,2020-06-21 20:33:15,-45.42,167.72,36.64,82,19,1.25
221,Maarianhamina,AX,2020-06-21 20:32:21,60.1,19.93,57.2,82,0,5.82
222,Makurdi,NG,2020-06-21 20:33:16,7.74,8.51,75.2,92,98,5.91
223,Coari,BR,2020-06-21 20:33:16,-4.08,-63.14,86.99,63,61,2.44
224,Yar-Sale,RU,2020-06-21 20:33:16,66.83,70.83,42.35,84,100,13.24
225,Ballina,AU,2020-06-21 20:33:16,-28.87,153.57,52.0,93,0,10.63
226,Hualmay,PE,2020-06-21 20:33:17,-11.1,-77.61,66.43,74,22,8.23
227,Coquimbo,CL,2020-06-21 20:33:17,-29.95,-71.34,60.8,72,3,11.41
228,Yarega,RU,2020-06-21 20:33:17,63.44,53.58,41.61,83,80,6.73
229,Mgandu,TZ,2020-06-21 20:33:17,-5.95,34.13,61.05,58,13,4.52
230,Hami,CN,2020-06-21 20:33:18,42.8,93.45,69.17,23,35,7.63
231,Forrest City,US,2020-06-21 20:33:18,35.01,-90.79,86.0,62,40,4.7
232,Orange,US,2020-06-21 20:30:14,33.7,-117.77,77.0,56,40,5.82
233,Cienfuegos,CU,2020-06-21 20:33:18,22.15,-80.44,91.4,66,88,2.24
234,Terre Haute,US,2020-06-21 20:31:51,39.47,-87.41,80.01,61,1,5.82
235,Laukaa,RU,2020-06-21 20:33:19,58.74,29.85,53.31,80,0,5.68
236,Kavieng,PG,2020-06-21 20:33:19,-2.57,150.8,83.07,73,33,4.63
237,Naze,JP,2020-06-21 20:32:06,28.37,129.48,73.4,100,75,11.41
238,Chara,RU,2020-06-21 20:33:19,56.91,118.26,57.88,66,0,0.22
239,Alice Springs,AU,2020-06-21 20:33:19,-23.7,133.88,35.6,64,0,6.93
240,Hammerfest,NO,2020-06-21 20:33:20,70.66,23.68,46.4,81,31,11.41
241,Deep River,CA,2020-06-21 20:33:20,46.1,-77.5,89.01,43,40,5.82
242,Charlestown,AU,2020-06-21 20:33:20,-32.95,151.67,53.01,70,87,5.99
243,Guerrero Negro,MX,2020-06-21 20:33:20,27.98,-114.06,72.64,51,1,18.41
244,Bandarbeyla,SO,2020-06-21 20:33:20,9.49,50.81,80.2,74,39,28.45
245,Torbay,CA,2020-06-21 20:32:00,47.67,-52.73,55.0,54,90,13.87
246,Manhattan,US,2020-06-21 20:28:25,40.78,-73.97,87.01,48,75,10.29
247,Taiyuan,CN,2020-06-21 20:33:21,37.87,112.56,71.6,64,62,4.47
248,Shelburne,CA,2020-06-21 20:31:04,44.08,-80.2,87.8,43,20,18.34
249,Calama,CL,2020-06-21 20:33:22,-22.47,-68.93,69.8,7,0,20.8
250,Sassandra,CI,2020-06-21 20:33:22,4.95,-6.08,76.1,90,99,8.97
251,Palmer,US,2020-06-21 20:33:22,42.16,-72.33,91.4,36,75,4.7
252,Northam,GB,2020-06-21 20:33:22,51.03,-4.22,57.99,89,2,7.0
253,Leningradskiy,RU,2020-06-21 20:29:05,69.38,178.42,48.38,66,0,1.81
254,Goulburn,AU,2020-06-21 20:33:23,-34.75,149.72,41.0,96,33,9.91
255,Tasiilaq,GL,2020-06-21 20:32:57,65.61,-37.64,50.0,71,100,2.24
256,Amahai,ID,2020-06-21 20:33:23,-3.33,128.92,81.0,96,65,1.01
257,Zhigansk,RU,2020-06-21 20:33:23,66.77,123.37,63.93,77,1,12.33
258,Labuhan,ID,2020-06-21 20:33:24,-6.88,112.21,77.54,87,100,4.47
259,Altay,CN,2020-06-21 20:33:25,47.87,88.12,41.59,63,52,3.58
260,Cape Canaveral,US,2020-06-21 20:33:25,28.41,-80.6,91.4,55,1,9.17
261,Victoria,HK,2020-06-21 20:29:24,22.29,114.16,86.0,74,99,10.0
262,Wanning,CN,2020-06-21 20:33:25,18.8,110.4,82.22,88,24,12.37
263,Zhezkazgan,KZ,2020-06-21 20:30:20,47.8,67.71,66.25,25,0,10.25
264,Choma,ZM,2020-06-21 20:33:26,-16.81,26.95,49.44,70,0,2.3
265,Ust-Tsilma,RU,2020-06-21 20:30:47,65.44,52.15,39.49,76,83,6.78
266,Arraial Do Cabo,BR,2020-06-21 20:33:08,-22.97,-42.03,80.6,73,0,8.05
267,Sao Filipe,CV,2020-06-21 20:33:26,14.9,-24.5,76.69,82,1,13.69
268,Tatawin,TN,2020-06-21 20:33:27,32.93,10.45,84.2,21,9,3.36
269,Mayor Pablo Lagerenza,PY,2020-06-21 20:33:27,-19.93,-60.77,89.22,38,16,7.23
270,Omsukchan,RU,2020-06-21 20:33:27,62.53,155.8,70.99,34,95,1.72
271,Severnyy,RU,2020-06-21 20:33:27,50.68,36.55,73.4,60,41,11.18
272,Praia Da Vitoria,PT,2020-06-21 20:33:27,38.73,-27.07,71.6,73,40,10.6
273,Tigil,RU,2020-06-21 20:33:28,57.8,158.67,60.04,63,3,3.24
274,Cabo San Lucas,MX,2020-06-21 20:33:28,22.89,-109.91,87.8,42,5,9.17
275,Rabo De Peixe,PT,2020-06-21 20:33:28,37.8,-25.58,68.0,82,75,8.05
276,Beloha,MG,2020-06-21 20:33:28,-25.17,45.05,66.97,86,99,2.66
277,Doboj,BA,2020-06-21 20:33:29,44.73,18.09,60.8,100,90,5.82
278,Gat,IL,2020-06-21 20:29:09,31.61,34.76,82.99,46,0,7.54
279,Maniitsoq,GL,2020-06-21 20:33:29,65.42,-52.9,48.43,61,1,9.28
280,Jasper,US,2020-06-21 20:28:39,37.2,-94.35,88.0,52,75,17.22
281,Baruun-Urt,MN,2020-06-21 20:33:30,46.68,113.28,58.03,91,100,13.69
282,Bathsheba,BB,2020-06-21 20:33:30,13.22,-59.52,86.0,70,40,23.04
283,Saint-Joseph,RE,2020-06-21 20:30:02,-21.37,55.62,66.2,82,20,4.7
284,Prieska,ZA,2020-06-21 20:33:30,-29.66,22.75,48.18,51,0,1.54
285,Kahului,US,2020-06-21 20:33:31,20.89,-156.47,87.8,48,40,18.34
286,Vila,PT,2020-06-21 20:33:31,42.03,-8.16,66.2,88,20,2.24
287,Dicabisagan,PH,2020-06-21 20:33:31,17.08,122.42,79.79,82,63,5.44
288,Linjiang,CN,2020-06-21 20:32:32,41.81,126.91,62.78,88,100,1.79
289,Wagar,SD,2020-06-21 20:32:29,16.15,36.2,95.34,25,98,9.42
290,Amga,RU,2020-06-21 20:33:32,60.9,131.96,56.16,63,48,4.03
291,Alofi,NU,2020-06-21 20:33:32,-19.06,-169.92,77.65,82,60,22.88
292,Kommunar,RU,2020-06-21 20:33:32,59.62,30.39,60.8,55,0,6.71
293,Binga,ZW,2020-06-21 20:33:32,-17.62,27.34,58.08,63,0,2.37
294,Ternate,ID,2020-06-21 20:33:17,0.8,127.4,80.73,78,18,4.05
295,La Ronge,CA,2020-06-21 20:33:33,55.1,-105.28,62.6,51,20,5.82
296,Yermakovskoye,RU,2020-06-21 20:33:33,53.28,92.4,48.07,95,100,12.53
297,Saurimo,AO,2020-06-21 20:33:33,-9.66,20.39,59.74,36,0,5.14
298,Charters Towers,AU,2020-06-21 20:33:35,-20.1,146.27,58.91,68,0,8.14
299,Nosy Varika,MG,2020-06-21 20:33:35,-20.58,48.53,67.21,91,72,4.99
300,Praia,CV,2020-06-21 20:33:35,14.92,-23.51,80.6,69,20,19.46
301,Berlevag,NO,2020-06-21 20:33:35,70.86,29.09,42.8,81,40,8.05
302,Deputatskiy,RU,2020-06-21 20:33:35,69.3,139.9,78.84,25,0,1.52
303,Muros,ES,2020-06-21 20:33:36,42.78,-9.06,64.99,92,25,5.44
304,Henties Bay,NA,2020-06-21 20:33:36,-22.12,14.28,59.0,82,14,1.01
305,Gravdal,NO,2020-06-21 20:33:36,68.12,13.5,61.41,62,39,3.85
