City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain,Snow
178,Dakar,SN,14.69,-17.44,78.8,88,40,6.93,scattered clouds,0.0,0.0
179,Jacareacanga,BR,-6.22,-57.75,79.61,67,81,1.7,broken clouds,0.0,0.0
180,Komsomolskiy,UZ,40.43,71.72,82.4,28,75,20.8,broken clouds,0.0,0.0
181,Mar Del Plata,AR,-38.0,-57.56,52.0,93,100,9.37,overcast clouds,0.0,0.0
182,Saint-Francois,FR,46.42,3.91,57.2,71,0,1.54,clear sky,0.0,0.0
183,Visnes,NO,59.36,5.22,60.01,87,6,10.29,clear sky,0.0,0.0
184,Concarneau,FR,47.88,-3.92,57.2,87,0,4.7,clear sky,0.0,0.0
185,Ponta Do Sol,PT,32.67,-17.1,69.8,64,20,9.17,few clouds,0.0,0.0
186,Kodiak,US,57.79,-152.41,53.6,76,90,11.41,overcast clouds,0.0,0.0
187,Grand Gaube,MU,-20.01,57.66,68.0,84,4,5.01,clear sky,0.0,0.0
188,Palmeira,BR,-25.43,-50.01,55.99,89,0,3.49,clear sky,0.0,0.0
189,Kavaratti,IN,10.57,72.64,83.95,74,100,15.35,overcast clouds,0.0,0.0
190,Vestmanna,FO,62.16,-7.17,48.2,100,48,14.99,scattered clouds,0.0,0.0
191,Balikpapan,ID,-1.27,116.83,78.8,94,40,9.17,scattered clouds,0.0,0.0
192,Itarema,BR,-2.92,-39.92,78.98,80,99,8.05,overcast clouds,0.0,0.0
193,Mahebourg,MU,-20.41,57.7,71.6,78,40,3.36,scattered clouds,0.0,0.0
194,Varhaug,NO,58.61,5.65,55.4,76,0,6.93,clear sky,0.0,0.0
195,Areosa,PT,41.72,-8.86,69.01,93,0,4.7,clear sky,0.0,0.0
196,Orlik,RU,52.52,99.83,57.69,60,35,6.24,scattered clouds,0.0,0.0
197,Fairbanks,US,64.84,-147.72,53.01,100,90,11.41,light intensity drizzle,0.0,0.0
198,Palana,RU,59.12,159.97,52.32,71,0,9.75,clear sky,0.0,0.0
199,Arraial Do Cabo,BR,-22.97,-42.03,68.0,94,0,5.23,clear sky,0.0,0.0
200,Katsuura,JP,35.13,140.3,75.99,88,75,3.36,broken clouds,0.0,0.0
201,Pemangkat,ID,1.17,108.97,78.04,86,100,5.08,overcast clouds,0.0,0.0
202,Leh,IN,34.17,77.58,56.88,32,0,2.91,clear sky,0.0,0.0
203,Upernavik,GL,72.79,-56.15,39.47,73,50,10.16,scattered clouds,0.0,0.0
204,Port Antonio,JM,18.18,-76.46,87.8,62,20,19.46,few clouds,0.0,0.0
205,Salo,IT,45.61,10.53,75.2,50,24,6.93,few clouds,0.0,0.0
206,Haines Junction,CA,60.75,-137.51,59.5,34,14,9.17,few clouds,0.0,0.0
207,Krasnyy Chikoy,RU,50.36,108.75,56.35,87,100,1.19,light rain,0.13,0.0
208,Belfast,GB,54.58,-5.93,57.2,93,100,8.05,overcast clouds,0.0,0.0
209,Madikeri,IN,12.42,75.73,64.62,96,100,2.86,overcast clouds,0.0,0.0
210,Mount Gambier,AU,-37.83,140.77,53.6,100,75,14.99,light intensity shower rain,0.0,0.0
211,Terebovlya,UA,49.3,25.71,66.99,93,100,3.0,overcast clouds,0.0,0.0
212,Tateyama,JP,34.98,139.87,75.99,88,75,3.36,broken clouds,0.0,0.0
213,Komatsu,JP,36.4,136.45,73.4,78,20,12.75,few clouds,0.0,0.0
214,Clyde River,CA,70.47,-68.59,41.0,93,90,12.75,overcast clouds,0.0,0.0
215,Poum,NC,-20.23,164.02,74.5,76,66,9.24,broken clouds,0.0,0.0
216,Gawler,AU,-34.6,138.73,55.0,95,94,5.99,overcast clouds,0.0,0.0
217,Puri,IN,19.8,85.85,84.2,89,75,5.82,haze,0.0,0.0
218,Pedasi,PA,7.53,-80.03,80.76,85,83,11.39,light rain,0.23,0.0
219,Kalundborg,DK,55.68,11.09,57.99,70,0,4.7,clear sky,0.0,0.0
220,Angoram,PG,-4.06,144.07,82.87,85,0,3.47,moderate rain,1.09,0.0
221,Bambous Virieux,MU,-20.34,57.76,71.6,78,40,3.36,scattered clouds,0.0,0.0
222,Nikolskoye,RU,59.7,30.79,53.6,71,0,0.72,clear sky,0.0,0.0
223,Longyearbyen,SJ,78.22,15.64,42.8,75,0,5.82,clear sky,0.0,0.0
224,Fare,PF,-16.7,-151.02,78.06,72,19,18.88,few clouds,0.0,0.0
225,San Ignacio,BZ,17.16,-89.07,86.0,74,75,9.17,broken clouds,0.0,0.0
226,Codrington,AU,-38.27,141.97,58.17,85,99,15.48,light rain,0.16,0.0
227,Hambantota,LK,6.12,81.12,82.0,75,100,19.8,overcast clouds,0.0,0.0
228,Yumen,CN,40.28,97.2,73.81,19,0,3.2,clear sky,0.0,0.0
229,Klaksvik,FO,62.23,-6.59,48.2,100,98,14.99,overcast clouds,0.0,0.0
230,Abu Dhabi,AE,24.47,54.37,90.0,49,0,4.7,clear sky,0.0,0.0
231,Timoteo,BR,-19.58,-42.64,60.55,72,1,1.86,clear sky,0.0,0.0
232,Seoul,KR,37.57,126.98,82.4,51,100,2.24,overcast clouds,0.0,0.0
233,Yeppoon,AU,-23.13,150.73,66.2,37,0,3.36,clear sky,0.0,0.0
